# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.42            	3.63020553e-02	1.81510276e-02	1.81510276e-02	-4.06004618e-01	-1.52150350e-01	-2.53854268e-01	5.08519589e-02	1.87814864e-19	1.67930740e-20	0.00000000e+00	1.67930740e-20	-1.67930740e-20
1.44            	3.63036114e-02	1.81518057e-02	1.81518057e-02	-4.06000489e-01	-1.52152765e-01	-2.53847723e-01	5.08474790e-02	1.87812954e-19	1.67937938e-20	0.00000000e+00	1.67937938e-20	-1.67937938e-20
1.46            	3.63050246e-02	1.81525123e-02	1.81525123e-02	-4.06002081e-01	-1.52155036e-01	-2.53847044e-01	5.08460039e-02	1.87813691e-19	1.67944476e-20	0.00000000e+00	1.67944476e-20	-1.67944476e-20
1.48            	3.63057821e-02	1.81528911e-02	1.81528911e-02	-4.06009636e-01	-1.52156269e-01	-2.53853367e-01	5.08485490e-02	1.87817186e-19	1.67947980e-20	0.00000000e+00	1.67947980e-20	-1.67947980e-20
1.5             	3.63055292e-02	1.81527646e-02	1.81527646e-02	-4.06022145e-01	-1.52156008e-01	-2.53866136e-01	5.08550641e-02	1.87822972e-19	1.67946810e-20	0.00000000e+00	1.67946810e-20	-1.67946810e-20
1.52            	3.63046619e-02	1.81523309e-02	1.81523309e-02	-4.06034987e-01	-1.52154736e-01	-2.53880251e-01	5.08627573e-02	1.87828913e-19	1.67942798e-20	0.00000000e+00	1.67942798e-20	-1.67942798e-20
1.54            	3.63037172e-02	1.81518586e-02	1.81518586e-02	-4.06044072e-01	-1.52153166e-01	-2.53890906e-01	5.08688698e-02	1.87833116e-19	1.67938428e-20	0.00000000e+00	1.67938428e-20	-1.67938428e-20
1.56            	3.63039286e-02	1.81519643e-02	1.81519643e-02	-4.06042653e-01	-1.52152632e-01	-2.53890021e-01	5.08686948e-02	1.87832459e-19	1.67939406e-20	0.00000000e+00	1.67939406e-20	-1.67939406e-20
1.58            	3.63062486e-02	1.81531243e-02	1.81531243e-02	-4.06026408e-01	-1.52154363e-01	-2.53872045e-01	5.08588410e-02	1.87824944e-19	1.67950138e-20	0.00000000e+00	1.67950138e-20	-1.67950138e-20
1.6             	3.63099010e-02	1.81549505e-02	1.81549505e-02	-4.06001268e-01	-1.52157795e-01	-2.53843474e-01	5.08428397e-02	1.87813315e-19	1.67967034e-20	0.00000000e+00	1.67967034e-20	-1.67967034e-20
1.62            	3.63131005e-02	1.81565503e-02	1.81565503e-02	-4.05978818e-01	-1.52161218e-01	-2.53817600e-01	5.08281907e-02	1.87802930e-19	1.67981835e-20	0.00000000e+00	1.67981835e-20	-1.67981835e-20
1.64            	3.63141051e-02	1.81570526e-02	1.81570526e-02	-4.05969928e-01	-1.52162724e-01	-2.53807205e-01	5.08222405e-02	1.87798817e-19	1.67986482e-20	0.00000000e+00	1.67986482e-20	-1.67986482e-20
1.66            	3.63125713e-02	1.81562857e-02	1.81562857e-02	-4.05977032e-01	-1.52161540e-01	-2.53815492e-01	5.08269762e-02	1.87802103e-19	1.67979387e-20	0.00000000e+00	1.67979387e-20	-1.67979387e-20
1.68            	3.63090176e-02	1.81545088e-02	1.81545088e-02	-4.05997350e-01	-1.52157856e-01	-2.53839494e-01	5.08408192e-02	1.87811503e-19	1.67962947e-20	0.00000000e+00	1.67962947e-20	-1.67962947e-20
1.7             	3.63048857e-02	1.81524429e-02	1.81524429e-02	-4.06022701e-01	-1.52152793e-01	-2.53869908e-01	5.08585578e-02	1.87823230e-19	1.67943833e-20	0.00000000e+00	1.67943833e-20	-1.67943833e-20
1.72            	3.63040361e-02	1.81520180e-02	1.81520180e-02	-4.06031081e-01	-1.52150380e-01	-2.53880700e-01	5.08651599e-02	1.87827106e-19	1.67939903e-20	0.00000000e+00	1.67939903e-20	-1.67939903e-20
1.74            	3.63075951e-02	1.81537976e-02	1.81537976e-02	-4.06015744e-01	-1.52152606e-01	-2.53863137e-01	5.08552656e-02	1.87820011e-19	1.67956367e-20	0.00000000e+00	1.67956367e-20	-1.67956367e-20
1.76            	3.63132698e-02	1.81566349e-02	1.81566349e-02	-4.05988822e-01	-1.52158032e-01	-2.53830790e-01	5.08363790e-02	1.87807557e-19	1.67982618e-20	0.00000000e+00	1.67982618e-20	-1.67982618e-20
1.78            	3.63180900e-02	1.81590450e-02	1.81590450e-02	-4.05965883e-01	-1.52164138e-01	-2.53801745e-01	5.08188035e-02	1.87796946e-19	1.68004916e-20	0.00000000e+00	1.68004916e-20	-1.68004916e-20
1.8             	3.63200895e-02	1.81600447e-02	1.81600447e-02	-4.05956928e-01	-1.52168577e-01	-2.53788351e-01	5.08098867e-02	1.87792804e-19	1.68014165e-20	0.00000000e+00	1.68014165e-20	-1.68014165e-20
1.82            	3.63186501e-02	1.81593250e-02	1.81593250e-02	-4.05964898e-01	-1.52169663e-01	-2.53795235e-01	5.08127859e-02	1.87796491e-19	1.68007506e-20	0.00000000e+00	1.68007506e-20	-1.68007506e-20
1.84            	3.63143733e-02	1.81571867e-02	1.81571867e-02	-4.05986585e-01	-1.52166901e-01	-2.53819685e-01	5.08263920e-02	1.87806523e-19	1.67987722e-20	0.00000000e+00	1.67987722e-20	-1.67987722e-20
